n,rho0,seed,rho,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
50,12,0,3,20.5173020362854,20.3414850234985,612.663933582022,126.972317024018,400.101408543007,199.425210446992,0.00457814322791111,0.00457824166939069,23.102742671512,-0.098462758735146,-0.0984619926127522,-0.0984628787784166,0.00457800149946669,0.00457719456138003,23.102742671512,-0.098462758735146,-0.0984619926127522,-0.0984628787784166,0.00309576256943835,0.0228714009936035,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,0,6,600.025013923645,600.036972999573,610.315488436958,101.025043189991,434.923863823002,158.874522948987,0.00144988660798535,0.00145022999644644,29.6317271369743,-0.0984628395135855,-0.0984622666876615,-0.0984626054356987,-0.033691033054605,-0.0285739773261408,29.6317271369743,-0.0984628395135855,-0.0984622666876615,-0.0984626054356987,2423.70123767261,2070.30659937781,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,0,9,600.075317144394,600.163214921951,610.505389310012,132.448182560969,475.278976512025,149.289853169001,0.000759836654545217,0.000604795699445139,22.8092535495537,-0.0984628679927466,-0.0984625334558775,-0.0984625529103349,-0.0803397138064006,-0.103565201103887,22.8092535495537,-0.0984628679927466,-0.0984625334558775,-0.0984625529103349,10673.2874724879,17223.9976076056,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,1,3,26.4726598262787,6.14073610305786,609.482669273973,152.670777082967,417.378955656022,199.393329461978,0.00446274659966289,0.00446327220703463,21.5253349460347,-0.0975462630634844,-0.0975453507749109,-0.0975463327950271,0.00446222844599109,0.00446164023893007,21.5253349460347,-0.0975462630634844,-0.0975453507749109,-0.0975463327950271,0.0116106451538511,0.0365643865948222,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,1,6,600.030023097992,600.032984018326,611.302136499027,101.081643210957,440.322271115962,179.214706268045,0.000764576213606576,0.000768691012802011,27.4672523777456,-0.0975459697329268,-0.0975453308057959,-0.0975459500835926,-0.0423644618157184,-0.00961670510808388,27.4672523777456,-0.0975459697329268,-0.0975453308057959,-0.0975459500835926,5640.907637694,1351.04950466759,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,1,9,600.084336996079,600.038372039795,613.562841729028,132.728949423064,459.36006788793,158.532812324935,0.000330757150026249,0.000342313527908408,21.2193338389755,-0.0975463149028335,-0.0975457906595371,-0.0975461415022139,-0.0651737755041945,-0.0839185516469974,21.2193338389755,-0.0975463149028335,-0.0975457906595371,-0.0975461415022139,19804.4192390164,24615.1140125117,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,2,3,19.6265649795532,22.933610200882,611.640696194954,165.162113188067,435.065814380068,209.095155493007,0.00129455276244694,0.00129427477787272,18.8873423928191,-0.102438600237019,-0.102438350824863,-0.102438597977627,0.00129352232427871,0.00129313161440336,18.8873423928191,-0.102438600237019,-0.102438350824863,-0.102438597977627,0.0795980046644969,0.0883246346838932,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,2,6,600.017689943314,600.024257898331,611.249561293051,113.616610634956,419.281013502972,179.275597515982,0.00033755266325719,0.000337517505983029,24.0079833119477,-0.102438509890131,-0.102438034995166,-0.102438594627095,-0.0428639189604109,-0.0262252577970511,24.0079833119477,-0.102438509890131,-0.102438034995166,-0.102438594627095,12798.438977432,7870.04372578225,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,2,9,600.02772808075,600.076976060867,610.743498974945,139.142714951071,401.304629727965,149.155016161967,6.30767118997288E-05,6.42260899572575E-05,18.5731671131874,-0.102438508319876,-0.102437492802541,-0.102438605363835,-0.0986189394252294,-0.0964214025822206,18.5731671131874,-0.102438508319876,-0.102437492802541,-0.102438605363835,156447.622529851,150228.090697081,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,3,3,18.3304350376129,16.2877249717712,608.88333211292,144.554512080969,432.935477902996,228.091673939023,0.00469252019818012,0.00469251082121169,18.4754464015618,-0.0971046916191696,-0.0971042024213725,-0.097104697071484,0.00469242804686174,0.00469248063494913,18.4754464015618,-0.0971046916191696,-0.0971042024213725,-0.097104697071484,0.00196379161915425,0.000643285944432173,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,3,6,600.018217086792,600.042582988739,609.178457421018,107.302195269032,455.352752908017,188.159158691997,0.00109376820973929,0.00123579118238739,23.3608730525965,-0.0971044569528481,-0.0971038218276511,-0.097104711451804,-0.024263843895901,-0.0244260256403791,23.3608730525965,-0.0971044569528481,-0.0971038218276511,-0.097104711451804,2318.37165131034,2076.5495974159,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
