n,rho0,seed,rho,mineigvalQ,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
50,12,0,3,1.39070258131819E-16,0.236714124679565,0.215410947799683,611.452740375,131.831807066,396.382431058,189.097764821,0.220328776756456,0.220328776756456,31.087513978701,0.220329007168892,0.220328793533537,0.220328967252907,0.220328776756456,0.220328776756456,31.087513978701,0.220329007168892,0.220328793533537,0.220328967252907,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,0,6,1.39070258131819E-16,0.0968019962310791,0.0920391082763672,610.271218906,170.108354442,489.535210134,223.72148746,0.0220634298607818,0.0220634298607818,42.1081473029903,0.0220634306340716,0.0220634341479592,0.0220634298826406,0.0220634298607818,0.0220634298607818,42.1081473029903,0.0220634306340716,0.0220634341479592,0.0220634298826406,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,0,9,1.39070258131819E-16,0.0245838165283203,0.0575919151306152,609.976915294,176.345487502,525.786441453,253.409742269,0.00115195534144135,0.00115195534144135,32.6220013912801,0.00115198112688245,0.00115196307425137,0.00115195540764744,0.00115195534144135,0.00115195534144135,32.6220013912801,0.00115198112688245,0.00115196307425137,0.00115195540764744,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,25,0,6,9.01318268145137E-16,24.7763130664825,22.0792620182037,611.85671579,207.48858684,525.517731012999,209.085707254,0.0944622618155027,0.0944622618155027,39.4740057468809,0.0944622670511528,0.0944622918609661,0.0944623415817976,0.0944622618155027,0.0944622618155027,39.4740057468809,0.0944622670511528,0.0944622918609661,0.0944623415817976,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,25,0,12,9.01318268145137E-16,5.53063201904297,4.72764801979065,611.971261639999,220.452939276,608.363825492001,344.296639486,0.0197018827597645,0.0197018827597645,23.6864731695224,0.0197024219041515,0.0197334381141121,0.0197023512944325,0.0197018827597645,0.0197018827597645,23.6864731695224,0.0197024219041515,0.0197334381141121,0.0197023512944325,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,TIME_LIMIT,OPTIMAL
50,25,0,19,9.01318268145137E-16,0.0850110054016113,0.115402936935425,611.903861568999,144.528454954001,524.016572798,234.050484083,0.000512572872976265,0.000512572872976265,9.9658799400391,0.000512610626025068,0.000512637909271938,0.000512578082183997,0.000512572872976265,0.000512572872976265,9.9658799400391,0.000512610626025068,0.000512637909271938,0.000512578082183997,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,38,0,10,-6.68441724530981E-16,600.022572040558,600.00660610199,609.048827555,217.406419131999,545.409739173001,286.851900701,0.0403574390701533,0.0403574390701533,30.462086869782,0.0396972863397647,0.0396966842650322,0.0396968313001789,0.036772006961592,0.0374444784805518,30.462086869782,0.0396972863397647,0.0396966842650322,0.0396968313001789,8.88419134407618,7.21790246536189,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,38,0,19,-6.68441724530981E-16,68.938040971756,69.798572063446,612.483038805,195.764156523001,606.141083334,285.761869457001,0.00744914568651432,0.00744914568651432,9.3391106278897,0.00744914787932927,0.00748208114540068,0.00744935034654588,0.00744914568651432,0.00744914568651432,9.3391106278897,0.00744914787932927,0.00748208114540068,0.00744935034654588,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,TIME_LIMIT,OPTIMAL
50,38,0,28,-6.68441724530981E-16,0.289716005325317,0.202554941177368,610.487351657999,157.671592070999,544.970193476998,208.221218508002,0.000640373133603576,0.000640373133603572,10.2204623158569,0.000640375576389763,0.000640379082685385,0.000640672052364711,0.000640373133603576,0.000640373133603572,10.2204623158569,0.000640375576389763,0.000640379082685385,0.000640672052364711,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,1,3,1.10408852616755E-16,0.222815990447998,0.151062965393066,612.076843596999,150.416529217,441.292154522998,282.342746090002,0.204185225713564,0.204185225713564,30.8356386825624,0.204185931491104,0.20418522592072,0.204185226289179,0.204185225713564,0.204185225713564,30.8356386825624,0.204185931491104,0.20418522592072,0.204185226289179,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
