n,rho0,seed,rho,mineigvalQ,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
50,12,0,3,-15.5987926790353,1.43493890762329,1.14503383636475,612.948137322,128.428198452,440.595194797,198.487768055,0.220329190500775,0.220328859857377,52.3411594016897,0.220328811327454,0.220328791700524,0.220328804258995,0.220307569195957,0.220321661167586,52.3411594016897,0.220328811327454,0.220328791700524,0.220328804258995,0.00981318216093727,0.00326724778385228,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,0,6,-15.5987926790353,1.23512506484985,1.38993692398071,615.303116289,170.583663011,394.353284416999,198.465006615,0.0220634680411455,0.0220635834513354,72.7745813122568,0.0220634308245954,0.0220638219972492,0.0220634520559781,0.0220622890314895,0.0220615631833764,72.7745813122568,0.0220634308245954,0.0220638219972492,0.0220634520559781,0.00534371864765174,0.00915657224707178,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,0,9,-15.5987926790353,6.18968486785889,5.46911978721619,613.954161268001,177.820704168001,566.304784495,180.410094008,0.00115204381424546,0.00115223270061069,43.6231275502965,0.00115198370481873,0.00115198616134728,0.00115212072917649,0.00115147223012098,0.00115117495167975,43.6231275502965,0.00115198370481873,0.00115198616134728,0.00115212072917649,0.0496147904635509,0.0917999402707204,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,1,3,-14.9881149746772,1.35787200927734,1.41257500648498,614.336009626,159.894995909002,460.937889542998,286.625074278999,0.204185225713563,0.204185240546932,55.6229645809519,0.204185501784435,0.204185231842181,0.204185226026334,0.204179832708428,0.204176665237612,55.6229645809519,0.204185501784435,0.204185231842181,0.204185226026334,0.00264123181124659,0.00419976943321967,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,1,6,-14.9881149746772,1.86854696273803,2.24926686286926,614.257242307998,159.395839180997,442.076623330001,196.230740680999,0.0221813830454839,0.0221816228551775,53.3982952116488,0.022181357472333,0.0221813367392784,0.0221814814067173,0.0221803103953781,0.0221792763551459,53.3982952116488,0.022181357472333,0.0221813367392784,0.0221814814067173,0.00483581255357337,0.0105785769009185,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,1,9,-14.9881149746772,10.6971368789672,12.8869159221649,613.211866540998,189.936266213997,527.215661204001,284.539524183001,0.000596234712619582,0.000596465393075187,49.196918186257,0.000595897563464595,0.000596122045621504,0.000595898758329044,0.000595423420602953,0.000595422722121423,49.196918186257,0.000595897563464595,0.000596122045621504,0.000595898758329044,0.136069235731856,0.174808289947686,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,2,3,-16.3892975330286,1.32635998725891,1.23899698257446,611.597137288001,181.830173802998,491.808802199004,217.934872385005,0.209814418971332,0.209814751654905,52.9902369870805,0.209814408155749,0.209814408078885,0.209814558294885,0.209794612987992,0.20979418418291,52.9902369870805,0.209814408155749,0.209814408078885,0.209814558294885,0.00943976273725756,0.00980268157138657,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,2,6,-16.3892975330286,4.98712706565856,3.06739807128906,614.088046660996,170.646743012002,430.472426609005,169.644857037994,0.0524708641182619,0.0524704781563694,73.8542372089697,0.0524702056729236,0.0524705015126908,0.052470529499968,0.0524673348345251,0.0524669765188473,73.8542372089697,0.0524702056729236,0.0524705015126908,0.052470529499968,0.00672617803435429,0.00667353842618814,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,2,9,-16.3892975330286,3.69805598258972,2.87787699699401,611.493356641003,146.135387000998,508.797572003,245.748836538994,0.00891985947330575,0.0089197869049554,44.2706998899775,0.00891977882976411,0.00891973657217907,0.0089197300845077,0.00891866531435241,0.00891868983543956,44.2706998899775,0.00891977882976411,0.00891973657217907,0.0089197300845077,0.0133876431228179,0.0122992794282283,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,3,3,-15.2597271620267,1.58991694450378,0.90811800956726,614.508276474996,159.691203866008,449.230598231995,179.849966741006,0.224501496663741,0.224501556525783,53.2193891407141,0.224501543105044,0.224501544468579,0.224501502748089,0.224501259360367,0.224500161748374,53.2193891407141,0.224501543105044,0.224501544468579,0.224501502748089,0.000105702357200224,0.000621277389163116,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
