n,rho0,seed,rho,mineigvalQ,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
10,3,0,1,-3.3885363539789184e-16,0.021538972854614258,0.011021137237548828,0.8270452359993214,0.10617391599953407,0.28814536400022916,0.2251876859991171,0.35883033104332274,0.35883033104332274,0.3588304541177401,0.3588303370041183,0.3588303312496159,0.3588303310432002,0.35883033104332274,0.35883033104332185,0.3588304541177401,0.3588303370041183,0.3588303312496159,0.3588303310432002,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
10,3,0,2,-3.3885363539789184e-16,0.011038064956665039,0.011390924453735352,0.9319211729998642,0.15589481399911165,0.2521381759997894,0.19775583099908545,0.006763585589015492,0.006763585589015492,0.00676359151116808,0.006763586110301589,0.0067636877145628655,0.006763633345749739,0.006763585589015492,0.006763585589015492,0.00676359151116808,0.006763586110301589,0.0067636877145628655,0.006763633345749739,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
10,3,1,1,1.9089271486672525e-17,0.006165027618408203,0.0037789344787597656,0.7427312419986265,0.09479723799995554,0.22290733999943768,0.21050078799999028,0.38111960951109825,0.38111960951109825,0.3811196095972767,0.3811196178009498,0.38111966125532304,0.38111967133324776,0.38111960951109825,0.3811196095110745,0.3811196095972767,0.3811196178009498,0.38111966125532304,0.38111967133324776,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
10,3,1,2,1.9089271486672525e-17,0.013797998428344727,0.012861967086791992,0.8563627039984567,0.14390890300091996,0.25324506100150757,0.18739654599994537,0.010062660054408673,0.010062660054408673,0.010062660158266346,0.010062660742642063,0.010062665276764709,0.010062675123824125,0.010062660054408673,0.010062660054408673,0.010062660158266346,0.010062660742642063,0.010062665276764709,0.010062675123824125,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
10,7,0,2,1.4149629095019374e-16,0.022782087326049805,0.014464855194091797,0.920598312999573,0.16372675099955813,0.26844726700073807,0.1998173459996906,0.1275269982278941,0.1275269982278941,0.12752699846111493,0.12752699859785493,0.12752701484441153,0.1275270177365203,0.1275269982278941,0.1275269982278941,0.12752699846111493,0.12752699859785493,0.12752701484441153,0.1275270177365203,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
10,7,0,5,1.4149629095019374e-16,0.012984037399291992,0.014460086822509766,1.030579989999751,0.22222994200092216,0.3882465239985322,0.27030405799996515,0.002761689403414397,0.002761689403414397,0.002761690094751381,0.00276169456489713,0.0027617478921504973,0.002761689445021594,0.002761689403414397,0.002761689403414397,0.002761690094751381,0.00276169456489713,0.0027617478921504973,0.002761689445021594,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
10,7,1,2,-1.4979722646944944e-16,0.019819974899291992,0.01717686653137207,0.9414302830009547,0.172927907000485,0.29793937999966147,0.26140011600000435,0.13662653565615596,0.13662653565615596,0.13662656247198998,0.13662653566507763,0.13662654344219938,0.13662653567094207,0.13662653565615596,0.13662653565615596,0.13662656247198998,0.13662653566507763,0.13662654344219938,0.13662653567094207,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
10,7,1,5,-1.4979722646944944e-16,0.014136075973510742,0.012269973754882812,0.9480928200009657,0.15226571499988495,0.2834166370012099,0.21765788499942573,0.004900108793093723,0.004900108793093714,0.004900232996755947,0.004900109868005001,0.004900111619934318,0.004900108987340049,0.004900108793093723,0.004900108793093714,0.004900232996755947,0.004900109868005001,0.004900111619934318,0.004900108987340049,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
12,4,0,1,-2.338271834326755e-16,0.011449098587036133,0.003988981246948242,1.5464927339999122,0.15945421200012788,0.5186633869998332,0.24964329700014787,0.4269675252151888,0.4269675252151888,0.42696753338988286,0.42696752689260514,0.4269675252813129,0.4269675506348218,0.4269675252151888,0.42696752521517567,0.42696753338988286,0.42696752689260514,0.4269675252813129,0.4269675506348218,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
12,4,0,3,-2.338271834326755e-16,0.008002042770385742,0.009693145751953125,1.9372588059995905,0.35729428500053473,0.5292758289997437,0.4425415659989085,0.001563183908158683,0.0015631839081587107,0.001563184450309974,0.0015631839229766828,0.0015631858539180237,0.0015631881095138228,0.001563183908158683,0.0015631839081587107,0.001563184450309974,0.0015631839229766828,0.0015631858539180237,0.0015631881095138228,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
12,4,1,1,-8.326672684688674e-17,0.007678031921386719,0.009293079376220703,1.6830034069989779,0.15922247399976186,0.46927942000002076,0.2741748450007435,0.6177334355141668,0.6177334355141668,0.6177334357165072,0.6177334374861435,0.6177334372078905,0.6177334588136767,0.6177334355141668,0.6177334355141753,0.6177334357165072,0.6177334374861435,0.6177334372078905,0.6177334588136767,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
12,4,1,3,-8.326672684688674e-17,0.009092092514038086,0.016369104385375977,1.9475917449999542,0.24566915099967446,0.5669651240004896,0.32397967299948505,0.0035710118642700156,0.0035710118642700156,0.0035710119153484926,0.00357101266736127,0.0035711364725317836,0.0035710755260892867,0.0035710118642700156,0.0035710118642700156,0.0035710119153484926,0.00357101266736127,0.0035711364725317836,0.0035710755260892867,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
12,8,0,3,3.7296464086754387e-16,0.0194399356842041,0.02105712890625,2.376811406998968,0.2975750709993008,0.6384301699999924,0.5217543599992496,0.11096437231325036,0.11096437231325036,0.11096437352452777,0.11096441231542055,0.11096442914970653,0.11096437239231269,0.11096437231325036,0.11096437231325036,0.11096437352452777,0.11096441231542055,0.11096442914970653,0.11096437239231269,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
12,8,0,5,3.7296464086754387e-16,0.014909982681274414,0.020460128784179688,2.4222160419994907,0.4241019380006037,0.753786253000726,0.46594282899968675,0.02978921410382531,0.02978921410382531,0.029789107553087644,0.02978922353757164,0.029789242010802682,0.02978924893998469,0.02978921410382531,0.02978921410382531,0.029789107553087644,0.02978922353757164,0.029789242010802682,0.02978924893998469,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
12,8,1,3,1.0350588134288464e-16,0.019935131072998047,0.02035999298095703,1.8867684159995406,0.28951641299863695,0.615411506001692,0.3724649989999307,0.05813349490087645,0.058133494900876465,0.05813349778802698,0.05813349591668998,0.05813350248053989,0.05813357098510662,0.05813349490087645,0.058133494900876465,0.05813349778802698,0.05813349591668998,0.05813350248053989,0.05813357098510662,0.0,0.0,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
